,url,expanded_url,display_url,indices
2751,https://t.co/FkH36NR7WH,http://bit.ly/3biiwNX,bit.ly/3biiwNX,"[100, 123]"
2753,https://t.co/kZ0pHhftRp,http://bit.ly/2SoVLPT,bit.ly/2SoVLPT,"[106, 129]"
2757,https://t.co/kOGxGGqiyh,http://bit.ly/3bjtmTY,bit.ly/3bjtmTY,"[54, 77]"
2760,https://t.co/DHSnxYE2P2,http://bit.ly/31ws0AO,bit.ly/31ws0AO,"[62, 85]"
2764,https://t.co/9UfpqDoakp,http://bit.ly/3bhQjqw,bit.ly/3bhQjqw,"[76, 99]"
2765,https://t.co/WoXoQBdjH8,http://bit.ly/385rJqQ,bit.ly/385rJqQ,"[74, 97]"
2778,https://t.co/q3k4oHOHoa,https://bit.ly/2S3Ld9D,bit.ly/2S3Ld9D,"[86, 109]"
2779,https://t.co/dciqxQMzYD,https://bit.ly/39hZKEL,bit.ly/39hZKEL,"[100, 123]"
2789,https://t.co/Od4yYZ8gMx,http://bit.ly/2SBnA7N,bit.ly/2SBnA7N,"[74, 97]"
2790,https://t.co/Od4yYZ8gMx,http://bit.ly/2SBnA7N,bit.ly/2SBnA7N,"[70, 93]"
2793,https://t.co/3Cenq2lmEj,http://bit.ly/2Uw5RBe,bit.ly/2Uw5RBe,"[71, 94]"
2800,https://t.co/sHt5790dxf,https://www.youtube.com/watch?v=xWgzgvfhvAs,youtube.com/watch?v=xWgzgv…,"[106, 129]"
2803,https://t.co/W1okv1ELwW,http://bit.ly/2tvsDxM,bit.ly/2tvsDxM,"[71, 94]"
2805,https://t.co/PTzK8f4cGX,http://bit.ly/39be29T,bit.ly/39be29T,"[96, 119]"
2807,https://t.co/C84nRvuN9c,http://bit.ly/3bjdUXI,bit.ly/3bjdUXI,"[103, 126]"
2808,https://t.co/lJFnINikLO,http://bit.ly/2OyRB6G,bit.ly/2OyRB6G,"[86, 109]"
2809,https://t.co/fbMXujsaHH,http://bit.ly/3bg6MeP,bit.ly/3bg6MeP,"[89, 112]"
2810,https://t.co/jtGJEDGkcl,http://bit.ly/2tuOGoi,bit.ly/2tuOGoi,"[105, 128]"
2814,https://t.co/fbMXujsaHH,http://bit.ly/3bg6MeP,bit.ly/3bg6MeP,"[91, 114]"
2817,https://t.co/B6yy5ZepRe,https://bit.ly/2S0oLyq,bit.ly/2S0oLyq,"[60, 83]"
2820,https://t.co/tZWOnIN8fl,https://bit.ly/31tdRnX,bit.ly/31tdRnX,"[70, 93]"
2830,https://t.co/GqjckCcM1K,https://bit.ly/2Ur8rbp,bit.ly/2Ur8rbp,"[75, 98]"
2833,https://t.co/bWgoYIHxeq,https://bit.ly/3969K3y,bit.ly/3969K3y,"[67, 90]"
2834,https://t.co/bWgoYIHxeq,https://bit.ly/3969K3y,bit.ly/3969K3y,"[57, 80]"
2843,https://t.co/6Cme2ddOfF,http://bit.ly/2H0CfDK,bit.ly/2H0CfDK,"[67, 90]"
2844,https://t.co/CynQBbzvME,http://bit.ly/3bgALmP,bit.ly/3bgALmP,"[90, 113]"
2848,https://t.co/AYf1xeQlI0,http://bit.ly/2RY49a2,bit.ly/2RY49a2,"[51, 74]"
2860,https://t.co/4ZAdQwpC6D,https://bit.ly/3bcJnuQ,bit.ly/3bcJnuQ,"[57, 80]"
2874,https://t.co/VQ5TmMbUwL,http://bit.ly/2vPcxA1,bit.ly/2vPcxA1,"[69, 92]"
2881,https://t.co/qzkOUXrJmB,http://bit.ly/397dRN2,bit.ly/397dRN2,"[96, 119]"
2901,https://t.co/45dRAQH0gZ,http://bit.ly/385MxyJ,bit.ly/385MxyJ,"[93, 116]"
